time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
5.159667600000000000e+13	9.947312519365959815e+02	3.221923558373391112e-11	0.000000000000000000e+00	1.070359854011120833e+07
5.162823360000000000e+13	9.942293686368381032e+02	3.221879001429688538e-11	0.000000000000000000e+00	1.070308558957056887e+07
5.165979120000000000e+13	9.937301835000142773e+02	3.221490302965127547e-11	0.000000000000000000e+00	1.070257191229686327e+07
5.169134880000000000e+13	9.932332716015140477e+02	3.221133187427185337e-11	0.000000000000000000e+00	1.070206199731342308e+07
5.172290640000000000e+13	9.927386749045165288e+02	3.220751525485638036e-11	0.000000000000000000e+00	1.070155553892260417e+07
5.175446400000000000e+13	9.922464160606305086e+02	3.220372173749333350e-11	0.000000000000000000e+00	1.070105277471406013e+07
5.178602160000000000e+13	9.917565063449047784e+02	3.219969188640545706e-11	0.000000000000000000e+00	1.070055368232690543e+07
5.181757920000000000e+13	9.912689503150284054e+02	3.219636341716211423e-11	0.000000000000000000e+00	1.070005849051315337e+07
5.184913680000000000e+13	9.907837485473506831e+02	3.219265496810586258e-11	0.000000000000000000e+00	1.069956652039139159e+07
5.188069440000000000e+13	9.903008992438295763e+02	3.218896890220911193e-11	0.000000000000000000e+00	1.069907813975157775e+07
5.191225200000000000e+13	9.898203991761145062e+02	3.218578622548679636e-11	0.000000000000000000e+00	1.069859332692872360e+07
5.194380960000000000e+13	9.893422442404671528e+02	3.218287030115272621e-11	0.000000000000000000e+00	1.069811159468231164e+07
5.197536720000000000e+13	9.888664297842063888e+02	3.217842488536937633e-11	0.000000000000000000e+00	1.069763199295781180e+07
5.200692480000000000e+13	9.883929507980121798e+02	3.217490379774348110e-11	0.000000000000000000e+00	1.069715738589970767e+07
5.203848240000000000e+13	9.879218020294748612e+02	3.217140311434601570e-11	0.000000000000000000e+00	1.069668618697275408e+07
5.207004000000000000e+13	9.874529780504002474e+02	3.216792284814449025e-11	0.000000000000000000e+00	1.069621837642728165e+07
5.210159760000000000e+13	9.869864732969635952e+02	3.216446300305468083e-11	0.000000000000000000e+00	1.069575393450107239e+07
