time [s]	total_relief [m]	mean incision[m/s]	mean diffusion [m/s]	energy expenditure [J/s]
2.074800000000000000e+05	1.479416555938301014e-01	2.822768715707626585e-06	-1.220302512277597799e-08	1.723899585872222789e-03
2.075400000000000000e+05	1.479450419744157974e-01	2.822755442434285904e-06	-1.220281577959430396e-08	1.723890627314867427e-03
2.076000000000000000e+05	1.479483857483989417e-01	2.822834389609312322e-06	-1.220258576569747393e-08	1.723881689564279833e-03
2.076600000000000000e+05	1.479516866400724107e-01	2.822784983392339466e-06	-1.220242544595323538e-08	1.723872630335104199e-03
2.077200000000000000e+05	1.479549443764958949e-01	2.822740296538989667e-06	-1.220222440323525002e-08	1.723863647598430351e-03
2.077800000000000000e+05	1.479581586868786991e-01	2.822724871289841758e-06	-1.220198641343861576e-08	1.723854734134049917e-03
2.078400000000000000e+05	1.479613293024717446e-01	2.822729876244023467e-06	-1.220171497850807006e-08	1.723845844841634910e-03
2.079000000000000000e+05	1.479644559568908946e-01	2.822670065954229024e-06	-1.220142486089505737e-08	1.723836948244309537e-03
2.079600000000000000e+05	1.479675383867980754e-01	2.822667158097984530e-06	-1.220113390563971331e-08	1.723828144395670283e-03
2.080200000000000000e+05	1.479705763328715284e-01	2.822613519010267629e-06	-1.220084233084518178e-08	1.723819345483522131e-03
2.080800000000000000e+05	1.479735695410025753e-01	2.822581467743985130e-06	-1.220055036341015875e-08	1.723810629798720436e-03
2.081400000000000000e+05	1.479765177636616358e-01	2.822579805792365223e-06	-1.220020440611082063e-08	1.723801964026930398e-03
2.082000000000000000e+05	1.479794207613819301e-01	2.822774895589897024e-06	-1.219983749063843424e-08	1.723793301353811203e-03
2.082600000000000000e+05	1.479822783043158174e-01	2.822703359689476877e-06	-1.219958995395238068e-08	1.723784338178728850e-03
2.083200000000000000e+05	1.479850901738230529e-01	2.822721477485761084e-06	-1.219933159547529433e-08	1.723775939487062238e-03
2.083800000000000000e+05	1.479878561640567414e-01	2.822725642773646163e-06	-1.219907029235521480e-08	1.723767059529050924e-03
2.084400000000000000e+05	1.479905760835169004e-01	2.822687394481114610e-06	-1.219880611956919241e-08	1.723758173546293586e-03
2.085000000000000000e+05	1.479932497565468741e-01	2.822739266462983147e-06	-1.219853959996434957e-08	1.723749346997077237e-03
2.085600000000000000e+05	1.479958770247512267e-01	2.822727501125787158e-06	-1.219827138841252635e-08	1.723725834556478348e-03
2.086200000000000000e+05	1.479984536976067244e-01	2.822604130421422432e-06	-1.219800133079149707e-08	1.723716946938740882e-03
2.086800000000000000e+05	1.480009878799447565e-01	2.822652914348839689e-06	-1.219776635374708540e-08	1.723708250127008743e-03
2.087400000000000000e+05	1.480034751210171917e-01	2.822661088157235971e-06	-1.219751546604617527e-08	1.723714538350615277e-03
2.088000000000000000e+05	1.480059196246284181e-01	2.822649882210305346e-06	-1.219725166670982256e-08	1.723705754389852959e-03
2.088600000000000000e+05	1.480083130530117641e-01	2.822594632583710619e-06	-1.219697571799521380e-08	1.723696988129548493e-03
2.089200000000000000e+05	1.480106597339520547e-01	2.822607887026311602e-06	-1.219668945272822801e-08	1.723688713910433287e-03
2.089800000000000000e+05	1.480129594286969663e-01	2.822592487463804583e-06	-1.219639441948887202e-08	1.723680013325925003e-03
2.090400000000000000e+05	1.480152122127754433e-01	2.822592627561354064e-06	-1.219561115504962144e-08	1.723656197353885464e-03
2.091000000000000000e+05	1.480174140703551244e-01	2.822537589221494838e-06	-1.219487810679854471e-08	1.723647521982271452e-03
2.091600000000000000e+05	1.480195732944287745e-01	2.822514046400425931e-06	-1.219425896182987608e-08	1.723638932678673869e-03
2.092200000000000000e+05	1.480216856251860835e-01	2.822526274375529827e-06	-1.219367056292576238e-08	1.723630380662507892e-03
2.092800000000000000e+05	1.480237514098461382e-01	2.822536438982894826e-06	-1.219311203960747538e-08	1.723621810683814617e-03
2.093400000000000000e+05	1.480257707319628246e-01	2.822508943177699059e-06	-1.219258233701968374e-08	1.723613225880729410e-03
2.094000000000000000e+05	1.480277437648165328e-01	2.822535616492351559e-06	-1.219208027111261635e-08	1.723604684327435105e-03
2.094600000000000000e+05	1.480296706975613441e-01	2.822494295937971496e-06	-1.219160457441078950e-08	1.723596102385912664e-03
2.095200000000000000e+05	1.480315517444017737e-01	2.822422599554365483e-06	-1.219115393021653971e-08	1.723587584945557435e-03
2.095800000000000000e+05	1.480333871425690839e-01	2.822431427006861434e-06	-1.219072700124119322e-08	1.723579178844563548e-03
2.096400000000000000e+05	1.480351771519387849e-01	2.822393075858756142e-06	-1.219032244903553687e-08	1.723570759779645455e-03
2.097000000000000000e+05	1.480369220543338860e-01	2.822458336106693258e-06	-1.218993894874893551e-08	1.723547387918755031e-03
2.097600000000000000e+05	1.480386181018699676e-01	2.822407626493850910e-06	-1.218957463019073944e-08	1.723538928543074398e-03
2.098200000000000000e+05	1.480402738432816667e-01	2.822467768919202322e-06	-1.218922900485201420e-08	1.723530547986163635e-03
2.098800000000000000e+05	1.480418852700022270e-01	2.822423512323022816e-06	-1.218897123199044413e-08	1.723522075149122503e-03
2.099400000000000000e+05	1.480434529741581073e-01	2.822411182467893779e-06	-1.218871845024970555e-08	1.723513671007924006e-03
2.100000000000000000e+05	1.480449772774423689e-01	2.822366942147831401e-06	-1.218847043317236364e-08	1.723505286284622920e-03
2.100600000000000000e+05	1.480464585837270308e-01	2.822370641588246153e-06	-1.218822650262868478e-08	1.723496970216995862e-03
2.101200000000000000e+05	1.480478973046569779e-01	2.822379464721876536e-06	-1.218798641045050091e-08	1.723488648816729092e-03
2.101800000000000000e+05	1.480492938683229120e-01	2.822325251011733391e-06	-1.218774987579710658e-08	1.723480314170860225e-03
2.102400000000000000e+05	1.480506487168118945e-01	2.822238179486550505e-06	-1.218751659398720041e-08	1.723472063554181213e-03
2.103000000000000000e+05	1.480519623054676603e-01	2.822219580745000775e-06	-1.218728721277097625e-08	1.723463947668790394e-03
2.103600000000000000e+05	1.480532351019033244e-01	2.822201009677304499e-06	-1.218707972708478422e-08	1.723455860839491526e-03
2.104200000000000000e+05	1.480544675850565262e-01	2.822245481343832671e-06	-1.218689080591370459e-08	1.723447802989805638e-03
2.104800000000000000e+05	1.480556602442480996e-01	2.822218384386953916e-06	-1.218678309247197041e-08	1.723439676801711467e-03
2.105400000000000000e+05	1.480568135782540096e-01	2.822233201412568048e-06	-1.218666919405151986e-08	1.723431592596643075e-03
2.106000000000000000e+05	1.480579280943922216e-01	2.822294948139016269e-06	-1.218654914021533968e-08	1.723423485701280162e-03
2.106600000000000000e+05	1.480590043076280005e-01	2.822423101170003023e-06	-1.218642289698500430e-08	1.723415283701872601e-03
2.107200000000000000e+05	1.480600427396995544e-01	2.822386814865340816e-06	-1.218643611357617206e-08	1.723406884127859492e-03
2.107800000000000000e+05	1.480610439182665217e-01	2.822337361555576495e-06	-1.218640414709539798e-08	1.723398540531508993e-03
